Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,Store\Store.csproj,File,Store\Services\ProductService.cs,58,12,T:System.Net.Http.HttpContent,,,,,return await response.Content.ReadFromJsonAsync(ProductSerializerContext.Default.ListProduct) ?? new List<Product>();
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,Store\Store.csproj,File,Store\Services\ProductService.cs,41,16,T:System.Net.Http.HttpContent,,,,,products = await response.Content.ReadFromJsonAsync(ProductSerializerContext.Default.ListProduct);
Api.0002,Die Quelle ist mit der ausgewählten .NET-Version inkompatibel.,Active,Potential,1,Store\Store.csproj,File,Store\Services\ProductService.cs,31,12,M:System.TimeSpan.FromMinutes(System.Int64),,,,,entry.AbsoluteExpirationRelativeToNow = TimeSpan.FromMinutes(5);
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,Store\Store.csproj,File,Store\Program.cs,29,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String,System.Boolean)",,,,,"app.UseExceptionHandler(""/Error"", createScopeForErrors: true);"
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,Store\Store.csproj,File,Store\Program.cs,12,4,T:System.Uri,,,,,c.BaseAddress = new(url);
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,Store\Store.csproj,File,Store\Program.cs,12,4,M:System.Uri.#ctor(System.String),,,,,c.BaseAddress = new(url);
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,Store\Store.csproj,File,Store\Program.cs,12,4,T:System.Uri,,,,,c.BaseAddress = new(url);
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,TinyShop.ServiceDefaults\TinyShop.ServiceDefaults.csproj,File,TinyShop.ServiceDefaults\TinyShop.ServiceDefaults.csproj,,,Microsoft.Extensions.Http.Resilience 9.6.0,,,,,"Microsoft.Extensions.Http.Resilience, 9.6.0  Empfehlung:  Remove Microsoft.Extensions.Http.Resilience, and replace with new package Microsoft.Extensions.Http.Resilience 10.3.0"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,TinyShop.ServiceDefaults\TinyShop.ServiceDefaults.csproj,File,TinyShop.ServiceDefaults\TinyShop.ServiceDefaults.csproj,,,Microsoft.Extensions.ServiceDiscovery 9.3.1,,,,,"Microsoft.Extensions.ServiceDiscovery, 9.3.1  Empfehlung:  Remove Microsoft.Extensions.ServiceDiscovery, and replace with new package Microsoft.Extensions.ServiceDiscovery 10.3.0"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,TinyShop.ServiceDefaults\TinyShop.ServiceDefaults.csproj,File,TinyShop.ServiceDefaults\TinyShop.ServiceDefaults.csproj,,,OpenTelemetry.Instrumentation.AspNetCore 1.12.0,,,,,"OpenTelemetry.Instrumentation.AspNetCore, 1.12.0  Empfehlung:  Remove OpenTelemetry.Instrumentation.AspNetCore, and replace with new package OpenTelemetry.Instrumentation.AspNetCore 1.15.0"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,TinyShop.ServiceDefaults\TinyShop.ServiceDefaults.csproj,File,TinyShop.ServiceDefaults\TinyShop.ServiceDefaults.csproj,,,OpenTelemetry.Instrumentation.Http 1.12.0,,,,,"OpenTelemetry.Instrumentation.Http, 1.12.0  Empfehlung:  Remove OpenTelemetry.Instrumentation.Http, and replace with new package OpenTelemetry.Instrumentation.Http 1.15.0"
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,TinyShop.ServiceDefaults\TinyShop.ServiceDefaults.csproj,File,TinyShop.ServiceDefaults\TinyShop.ServiceDefaults.csproj,,,,,,,,Aktuelles Zielframework: net9.0 Empfohlenes Zielframework: net10.0
